utcyearday,datetime,declination,horizforce,storm,fret
244.680556,-14728.92,39.6,-1.5,0,3 (Bb maj)
244.722222,-14728.88,40,-0.3,0,3 (Bb maj)
244.763889,-14728.83,40.1,0.8,0,3 (Bb maj)
244.805556,-14728.79,41.1,2.9,0,3 (Bb maj)
244.847222,-14728.75,40.9,4.5,0,3 (Bb maj)
244.888889,-14728.71,42.4,-3.3,0.5,3 (Bb maj)
244.930556,-14728.67,39.9,4.4,0.5,3 (Bb maj)
244.972222,-14728.63,39.1,3.4,0.5,3 (Bb maj)
245.013889,-14728.58,38,1.3,0.5,3 (Bb maj)
245.055556,-14728.54,39.1,2.8,0.5,3 (Bb maj)
245.097222,-14728.50,40.6,-1.4,0.5,3 (Bb maj)
245.138889,-14728.46,47.8,2.6,0.5,3 (Bb maj)
245.180556,-14728.42,52.9,10.1,0.5,3 (Bb maj)
245.222222,-14728.38,62.6,-999,1,3 (Bb maj)
245.263889,-14728.33,72.4,-999,1,3 (Bb maj)
245.305556,-14728.29,82.1,-999,1,3 (Bb maj)
245.347222,-14728.25,63.1,-7.6,1,3 (Bb maj)
245.388889,-14728.21,70.1,-47.6,1,3 (Bb maj)
245.430556,-14728.17,57.4,-38.3,1,3 (Bb maj)
245.472222,-14728.13,45.1,-26.5,1,3 (Bb maj)
245.513889,-14728.08,57.1,1.4,1,3 (Bb maj)
245.555556,-14728.04,41.1,-58.6,1,3 (Bb maj)
245.597222,-14728.00,49.6,-999,1,3 (Bb maj)
245.638889,-14727.96,24.1,-72.1,1,3 (Bb maj)
245.680556,-14727.92,40.1,-37.4,1,3 (Bb maj)
245.722222,-14727.88,42,-43.9,1,3 (Bb maj)
245.763889,-14727.83,57.6,-39.3,1,3 (Bb maj)
245.805556,-14727.79,49.4,-35.3,0.5,10 (F maj)
245.847222,-14727.75,50,-28.8,0.5,10 (F maj)
245.888889,-14727.71,51.9,-29.7,0.5,10 (F maj)
245.930556,-14727.67,46,-29.3,0.5,10 (F maj)
245.972222,-14727.63,45.1,-25.6,0.5,10 (F maj)
246.013889,-14727.58,35.9,-13.8,0.5,10 (F maj)
246.055556,-14727.54,40.1,-24.6,0.5,10 (F maj)
246.097222,-14727.50,39.3,-23.3,0.5,10 (F maj)
246.138889,-14727.46,41.1,-19.6,0.5,10 (F maj)
246.180556,-14727.42,43.6,-9.6,0.5,10 (F maj)
246.222222,-14727.38,44.8,-4.4,0.5,10 (F maj)
246.263889,-14727.33,50.3,-1.4,0.5,10 (F maj)
246.305556,-14727.29,50,-1.7,0.5,10 (F maj)
246.347222,-14727.25,42.6,3.8,0,10 (F maj)
246.388889,-14727.21,42.2,7.5,0,10 (F maj)
246.430556,-14727.17,41.1,11.6,0,10 (F maj)
246.472222,-14727.13,34.1,10.4,0,10 (F maj)
246.513889,-14727.08,36.2,22.5,0,10 (F maj)
246.555556,-14727.04,41.2,-6.5,0,10 (F maj)
246.597222,-14727.00,38.8,-2.8,0,10 (F maj)
246.638889,-14726.96,46.2,-3.8,0,10 (F maj)
246.680556,-14726.92,46.1,-1.1,0,10 (F maj)
246.722222,-14726.88,39.1,-8.3,0,10 (F maj)
246.763889,-14726.83,44.1,-28.6,0.5,10 (F maj)
246.805556,-14726.79,44.5,-26.4,0.5,10 (F maj)
246.847222,-14726.75,44.1,-22.1,0.5,10 (F maj)
246.888889,-14726.71,43.2,-11.5,0.5,10 (F maj)
246.930556,-14726.67,37.9,-12.1,0.5,10 (F maj)
246.972222,-14726.63,38.2,-16,0.5,10 (F maj)
247.013889,-14726.58,39.7,-19.1,0.5,10 (F maj)
247.055556,-14726.54,40.7,-15,0.5,10 (F maj)
247.097222,-14726.50,46.6,-12.7,0.5,10 (F maj)
247.138889,-14726.46,53.6,-17.1,0.5,10 (F maj)
247.180556,-14726.42,56.1,-13.2,0.5,10 (F maj)
247.222222,-14726.38,51.1,-11.1,0.5,10 (F maj)
247.263889,-14726.33,51,-11.8,0.5,10 (F maj)
247.305556,-14726.29,54.1,-20.6,0.5,10 (F maj)
247.347222,-14726.25,43.2,-1.7,0,5 (C maj)
247.388889,-14726.21,46.3,0.3,0,5 (C maj)
247.430556,-14726.17,46.3,-5.5,0,5 (C maj)
247.472222,-14726.13,28.8,10.1,0,5 (C maj)
247.513889,-14726.08,42.1,-3,0,5 (C maj)
247.555556,-14726.04,35,-3.3,0,5 (C maj)
247.597222,-14726.00,40.4,-11.7,0,5 (C maj)
247.638889,-14725.96,40.6,-6.6,0,5 (C maj)
247.680556,-14725.92,43.2,3.7,0,5 (C maj)
247.722222,-14725.88,48.1,-3.3,0,5 (C maj)
247.763889,-14725.83,46.3,-1.4,0,5 (C maj)
247.805556,-14725.79,46,1.2,0,5 (C maj)
247.847222,-14725.75,46.1,1,0,5 (C maj)
247.888889,-14725.71,46.4,-4.3,0,5 (C maj)
247.930556,-14725.67,52.3,-1.7,0,5 (C maj)
247.972222,-14725.63,41.8,-0.8,0,5 (C maj)
248.013889,-14725.58,36.4,-0.5,0,5 (C maj)
248.055556,-14725.54,40.2,-6.1,0,5 (C maj)
248.097222,-14725.50,55.2,1.3,0,5 (C maj)
248.138889,-14725.46,50.1,-5,0,5 (C maj)
248.180556,-14725.42,54,1.3,0,5 (C maj)
248.222222,-14725.38,54.5,3.8,0,5 (C maj)
248.263889,-14725.33,54.1,3.4,0,5 (C maj)
248.305556,-14725.29,54.9,12.5,0,5 (C maj)
248.347222,-14725.25,54.6,9.4,0,5 (C maj)
248.388889,-14725.21,52.6,9,0,5 (C maj)
248.430556,-14725.17,52.1,6,0,5 (C maj)
248.472222,-14725.13,18.2,-6.6,0,5 (C maj)
248.513889,-14725.08,42.4,-14.8,0,5 (C maj)
248.555556,-14725.04,46,-11.3,0,5 (C maj)
248.597222,-14725.00,40.9,-6.1,0,5 (C maj)
248.638889,-14724.96,39.1,-4.6,0,5 (C maj)
248.680556,-14724.92,39.1,-6.9,0,5 (C maj)
248.722222,-14724.88,47.4,-12.3,0,5 (C maj)
248.763889,-14724.83,47.1,-3.6,0,5 (C maj)
248.805556,-14724.79,45.1,-2.9,0,5 (C maj)
248.847222,-14724.75,44.9,-2.9,0,5 (C maj)
248.888889,-14724.71,43.8,-9.7,0,5 (C maj)
248.930556,-14724.67,38.4,-2.5,0,5 (C maj)
248.972222,-14724.63,38.1,3.4,0,5 (C maj)
249.013889,-14724.58,37.1,-2.6,0,5 (C maj)
249.055556,-14724.54,39.2,-8.7,0,5 (C maj)
249.097222,-14724.50,44.1,-12.3,0,5 (C maj)
249.138889,-14724.46,47.6,-11.3,0,5 (C maj)
249.180556,-14724.42,56.1,-2.9,0,5 (C maj)
249.222222,-14724.38,57.9,-1.3,0,5 (C maj)
249.263889,-14724.33,59.1,1.5,0,5 (C maj)
249.305556,-14724.29,53.1,2.4,0,5 (C maj)
249.347222,-14724.25,51.7,2,0,5 (C maj)
249.388889,-14724.21,44.1,-9.6,0,5 (C maj)
249.430556,-14724.17,44.5,-1.7,0,5 (C maj)
249.472222,-14724.13,41.1,-7,0,5 (C maj)
249.513889,-14724.08,40.6,-4.1,0,5 (C maj)
249.555556,-14724.04,41.1,-2.3,0,5 (C maj)
